#Selection names: degen17
#Areas (µm^2): 2670.8
Selection,X,Y,Class,Color
degen17,1747.778584314139,1206.2524606998581,Unclassified,#c2c2c2
degen17,1754.1645113126467,1199.8665337013504,Unclassified,#c2c2c2
degen17,1754.590239779214,1199.015076768216,Unclassified,#c2c2c2
degen17,1757.9960675117516,1197.3121629019472,Unclassified,#c2c2c2
degen17,1764.3819945102596,1197.7378913685145,Unclassified,#c2c2c2
degen17,1778.8567623735441,1200.2922621679177,Unclassified,#c2c2c2
degen17,1786.094146305186,1207.1039176329925,Unclassified,#c2c2c2
degen17,1788.2227886380222,1222.0044139628444,Unclassified,#c2c2c2
degen17,1784.8169609054846,1239.4592810920994,Unclassified,#c2c2c2
degen17,1780.1339477732456,1252.6568635556823,Unclassified,#c2c2c2
degen17,1769.4907361090654,1261.5971613535935,Unclassified,#c2c2c2
degen17,1751.6101405132433,1265.002989086131,Unclassified,#c2c2c2
degen17,1743.0955711818997,1260.7457044204589,Unclassified,#c2c2c2
degen17,1738.8382865162278,1252.2311350891152,Unclassified,#c2c2c2
degen17,1737.9868295830934,1242.43938035807,Unclassified,#c2c2c2
degen17,1738.4125580496607,1229.2417978944868,Unclassified,#c2c2c2
degen17,1741.8183857821982,1217.3214008306052,Unclassified,#c2c2c2
degen17,1747.778584314139,1206.2524606998581,Unclassified,#c2c2c2
