cell_id,group,color
aaaacgoo-1,Stroma: cortical,#9C27B0
aaaaodae-1,Granulosa: supportive pre-granulosa,#E69F00
aaabacnf-1,Granulosa: supportive pre-granulosa,#E69F00
aaabedmp-1,Granulosa: primordial follicle,#FDB462
aaabgffo-1,Immune: tissue macrophages,#FFD92F
aaabhcdh-1,Granulosa: supportive pre-granulosa,#E69F00
aaabipll-1,Granulosa: supportive pre-granulosa,#E69F00
aaabkjge-1,Granulosa: supportive pre-granulosa,#E69F00
aaacaeli-1,Granulosa: supportive pre-granulosa,#E69F00
aaacckal-1,Granulosa: primordial follicle,#FDB462
aaacghok-1,Granulosa: primordial follicle,#FDB462
aaacgmmj-1,Granulosa: morphogenetic RELN+,#FFA54F
aaachbii-1,Granulosa: signaling,#D55E00
aaacipii-1,Granulosa: signaling,#D55E00
aaacmipk-1,Stroma: cortical,#9C27B0
aaacokom-1,Granulosa: signaling,#D55E00
aaaddphi-1,Germ: primordial follicle oocytes,#2C7FB8
aaadklgc-1,Granulosa: signaling,#D55E00
aaadmfpb-1,Ambiguous_subcluster,#999999
aaaegfim-1,Granulosa: supportive pre-granulosa,#E69F00
aaaegmnb-1,Granulosa: morphogenetic RELN+,#FFA54F
aaaehoap-1,Granulosa: supportive pre-granulosa,#E69F00
aaaelaic-1,Granulosa: supportive pre-granulosa,#E69F00
aaaemnjp-1,Germ: stalled meiotic,#4DBBD5
aaaepldh-1,Endothelial: angiogenic,#FF4FA3
aaafapfd-1,Immune: NK T cells,#E6AB02
aaafccme-1,Granulosa: signaling,#D55E00
aaafflmm-1,Granulosa: supportive pre-granulosa,#E69F00
aaafiodg-1,Granulosa: signaling,#D55E00
aaaflofh-1,Granulosa: supportive pre-granulosa,#E69F00
aaagakpo-1,Granulosa: supportive pre-granulosa,#E69F00
aaagbnck-1,Germ: pachytene/diplotene,#00C1A2
aaagdjho-1,Stroma: cortical,#9C27B0
aaaghgcg-1,Granulosa: signaling,#D55E00
aaaghlah-1,Granulosa: supportive pre-granulosa,#E69F00
aaagiimm-1,Germ: leptotene/zygotene,#00A087
aaagijpg-1,Stroma: cortical,#9C27B0
aaagockm-1,Granulosa: signaling,#D55E00
aaahbhii-1,Granulosa: supportive pre-granulosa,#E69F00
aaahbnhk-1,Stroma: cortical,#9C27B0
aaahbnpn-1,Granulosa: primordial follicle,#FDB462
aaahcije-1,Granulosa: supportive pre-granulosa,#E69F00
aaahfdog-1,Granulosa: supportive pre-granulosa,#E69F00
aaahlnfg-1,Granulosa: supportive pre-granulosa,#E69F00
aaahlogm-1,Granulosa: supportive pre-granulosa,#E69F00
aaahmcga-1,Endothelial: angiogenic,#FF4FA3
aaaiacik-1,Granulosa: supportive pre-granulosa,#E69F00
aaaibbjf-1,Endothelial: angiogenic,#FF4FA3
aaaidfoj-1,Granulosa: signaling,#D55E00
aaaigkpj-1,Germ: pachytene/diplotene,#00C1A2
aaainkko-1,Granulosa: signaling,#D55E00
aaajedgc-1,Germ: pachytene/diplotene,#00C1A2
aaajfmha-1,Granulosa: supportive pre-granulosa,#E69F00
aaajggbg-1,Stroma: proliferative progenitors,#8E63CE
aaajhpoa-1,Stroma: cortical,#9C27B0
aaajifla-1,Granulosa: signaling,#D55E00
aaajipjb-1,Granulosa: signaling,#D55E00
aaajjlnh-1,Stroma: cortical,#9C27B0
aaajjlpp-1,Granulosa: supportive pre-granulosa,#E69F00
aaajnmhl-1,Ambiguous_subcluster,#999999
aaajoodm-1,Granulosa: signaling,#D55E00
aaakdcaj-1,Granulosa: signaling,#D55E00
aaakioje-1,Germ: stalled meiotic,#4DBBD5
aaakjjgh-1,Granulosa: signaling,#D55E00
aaakknme-1,Granulosa: signaling,#D55E00
aaakllfk-1,Granulosa: supportive pre-granulosa,#E69F00
aaakojjj-1,Granulosa: signaling,#D55E00
aaaledci-1,Granulosa: signaling,#D55E00
aaalpknj-1,Mural: pericytes,#E41A1C
aaanbeab-1,Granulosa: supportive pre-granulosa,#E69F00
aaangnpn-1,Endothelial: angiogenic,#FF4FA3
