#Selection names: Medulla
#Areas (µm^2): 2972374.0
Selection,X,Y,Class,Color
Medulla,980.0534479574177,1177.4025460512091,Unclassified,#c2c2c2
Medulla,1202.9100580808333,1338.0235164992869,Unclassified,#c2c2c2
Medulla,1227.249665030149,1368.4480251859318,Unclassified,#c2c2c2
Medulla,1245.5043702421356,1404.9574356099054,Unclassified,#c2c2c2
Medulla,1275.9288789287789,1441.4668460338785,Unclassified,#c2c2c2
Medulla,1336.7778963020687,1502.3158634071679,Unclassified,#c2c2c2
Medulla,1443.3980627220294,1532.8997073792304,Unclassified,#c2c2c2
Medulla,1496.656064419111,1624.7697603066963,Unclassified,#c2c2c2
Medulla,1545.9197159889115,1627.4326603915506,Unclassified,#c2c2c2
Medulla,1579.2059670495878,1658.0560113673723,Unclassified,#c2c2c2
Medulla,1648.441369255794,1771.229264973671,Unclassified,#c2c2c2
Medulla,1652.4357193830751,1843.1275672647316,Unclassified,#c2c2c2
Medulla,1671.0760199770539,1851.1162675192936,Unclassified,#c2c2c2
Medulla,1753.6259226075306,1903.0428191739486,Unclassified,#c2c2c2
Medulla,1777.5920233712172,1913.694419513365,Unclassified,#c2c2c2
Medulla,1840.1701753652883,1997.5757721862688,Unclassified,#c2c2c2
Medulla,1866.799176213829,2044.1765236712151,Unclassified,#c2c2c2
Medulla,1889.433826935089,2104.091775580432,Unclassified,#c2c2c2
Medulla,1929.3773282079,2116.0748259622756,Unclassified,#c2c2c2
Medulla,1986.6296800322634,2132.0522264714,Unclassified,#c2c2c2
Medulla,2009.2643307535225,2175.9900778714923,Unclassified,#c2c2c2
Medulla,2031.8989814747827,2182.6473280836276,Unclassified,#c2c2c2
Medulla,2087.8198832567186,2237.2367798231367,Unclassified,#c2c2c2
Medulla,2146.069827366813,2275.098384047938,Unclassified,#c2c2c2
Medulla,2188.6641395281154,2305.522892734582,Unclassified,#c2c2c2
Medulla,2243.599538220683,2351.741483471862,Unclassified,#c2c2c2
Medulla,2441.9855945423114,2459.5889369084534,Unclassified,#c2c2c2
Medulla,2573.799148742589,2498.2009881388376,Unclassified,#c2c2c2
Medulla,2624.3942503548164,2530.1557891570865,Unclassified,#c2c2c2
Medulla,2708.27560302772,2571.430740472325,Unclassified,#c2c2c2
Medulla,2742.8933041308233,2600.72264140572,Unclassified,#c2c2c2
Medulla,2813.4601563794567,2671.289493654353,Unclassified,#c2c2c2
Medulla,2911.9874595190577,2744.5192459878403,Unclassified,#c2c2c2
Medulla,2991.8744620646803,2799.1086977273494,Unclassified,#c2c2c2
Medulla,3089.2295966527913,2871.4187543061694,Unclassified,#c2c2c2
Medulla,3190.2605183863097,2934.9166020549083,Unclassified,#c2c2c2
Medulla,3210.232269022715,2938.9109521821897,Unclassified,#c2c2c2
Medulla,3326.068422713868,2942.905302309471,Unclassified,#c2c2c2
Medulla,3404.623975217063,2953.5569026488874,Unclassified,#c2c2c2
